bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2021-1-26 23:32:00,2021-1-27 08:01:00,2,15,61,24,8:19:00,25,5180,51.8
2021-1-27 23:22:00,2021-1-28 07:47:00,2,20,58,22,8:19:00,25,3021,30.21
2021-1-28 23:26:00,2021-1-29 08:09:00,1,13,58,29,8:19:00,13,5774,57.74
2021-1-29 23:07:00,2021-1-30 07:02:00,1,17,55,28,7:54:00,13,6114,61.14
2021-1-30 00:44:00,2021-1-31 08:53:00,1,17,55,28,8:06:00,13,6296,62.96
2021-1-31 01:00:00,2021-2-1 08:58:00,3,10,69,21,7:51:00,38,6610,66.1
2021-2-1 22:07:00,2021-2-2 06:29:00,2,16,60,24,8:08:00,25,5948,59.48
2021-2-2 23:24:00,2021-2-3 08:03:00,3,22,55,23,8:32:00,38,3284,32.84
2021-2-3 23:11:00,2021-2-4 07:22:00,1,14,61,25,8:02:00,13,4141,41.41
2021-2-4 23:10:00,2021-2-5 08:30:00,4,17,64,19,8:48:00,50,5779,57.79
2021-2-5 23:25:00,2021-2-6 07:17:00,1,11,73,16,7:48:00,13,5885,58.85
2021-2-6 23:14:00,2021-2-8 09:32:00,4,14,52,34,9:59:00,50,10196,101.96
2021-2-8 23:28:00,2021-2-9 07:45:00,1,17,63,20,8:15:00,13,4086,40.86
2021-2-9 23:41:00,2021-2-10 07:51:00,4,11,70,19,8:03:00,50,7857,78.57
2021-2-10 22:57:00,2021-2-11 07:58:00,3,16,58,26,8:22:00,38,3264,32.64
2021-2-11 23:30:00,2021-2-12 07:53:00,3,13,63,24,7:58:00,38,6604,66.04
2021-2-12 23:31:00,2021-2-13 08:28:00,3,9,61,30,8:42:00,38,4122,41.22
2021-2-13 00:26:00,2021-2-14 08:43:00,2,15,55,30,8:09:00,25,7184,71.84
2021-2-14 00:28:00,2021-2-15 08:35:00,2,25,49,26,7:53:00,25,3861,38.61
2021-2-15 00:28:00,2021-2-16 05:54:00,2,20,49,31,5:11:00,25,5081,50.81
2021-2-16 23:31:00,2021-2-17 08:03:00,2,11,61,28,8:25:00,25,3429,34.29
2021-2-17 23:13:00,2021-2-18 07:51:00,2,17,58,25,8:30:00,25,3157,31.57
2021-2-18 23:31:00,2021-2-19 08:00:00,4,9,74,17,8:14:00,50,7365,73.65
2021-2-19 23:29:00,2021-2-20 09:32:00,2,27,46,27,9:28:00,25,8900,89
2021-2-20 23:25:00,2021-2-21 07:50:00,2,24,60,16,8:21:00,25,5845,58.45
2021-2-21 00:04:00,2021-2-22 09:29:00,4,11,64,25,9:07:00,50,8992,89.92
2021-2-22 23:37:00,2021-2-23 08:28:00,3,24,53,23,7:24:00,38,3929,39.29
2021-2-23 23:19:00,2021-2-24 08:00:00,3,15,63,22,8:35:00,38,4568,45.68
2021-2-24 20:00:00,2021-2-25 06:21:00,0,1,75,24,22:21:00,0,1365,13.65
2021-2-25 23:19:00,2021-2-26 08:01:00,2,19,61,20,8:26:00,25,5507,55.07
2021-2-26 23:50:00,2021-2-28 06:52:00,2,19,47,34,6:57:00,25,8465,84.65
